Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,year
Kyrie Irving,24,5,5,202,.558,.524,4.5,7.2,5.6,18.1,1.2,0.3,10.8,30.9,111,125,18.2,2017
Kevin Love,28,5,5,161,.528,.478,11.7,25.1,18.2,4.2,3.3,2.4,6.2,21.0,114,113,14.7,2017
J.R. Smith,31,5,5,146,.770,.784,0.6,5.6,3.1,1.8,1.0,1.3,9.5,12.3,135,125,7.9,2017
Richard Jefferson,36,5,0,83,.559,.472,6.9,8.6,7.7,2.8,0.5,1.2,13.4,15.1,111,125,3.0,2017
Tristan Thompson,25,5,5,132,.568,.545,12.0,12.8,12.2,12.4,1.0,2.2,22.1,10.1,120,122,6.8,2017
Kyle Korver,35,5,0,97,.541,.500,0.0,5.9,3.0,2.9,0.5,1.0,9.0,9.7,104,126,2.1,2017
Iman Shumpert,26,5,0,66,.421,.294,1.4,13.1,7.3,7.0,2.0,0.0,8.5,14.7,93,119,2.0,2017
Dahntay Jones,36,3,0,10,.945,.833,8.7,32.4,20.3,0.0,0.0,0.0,0.0,18.7,202,119,3.1,2017
Derrick Williams,25,3,0,10,.509,.417,0.0,10.3,5.8,10.3,0.0,0.0,0.0,28.1,108,124,1.5,2017
Deron Williams,32,5,0,61,.156,.156,1.5,11.7,6.6,11.2,1.5,0.0,23.8,14.4,40,122,-0.9,2017
Channing Frye,33,1,0,11,.200,.200,0.0,31.4,13.7,10.5,0.0,0.0,0.0,18.3,53,127,0.5,2017
James Jones,36,3,0,8,.000,.000,0.0,14.1,6.1,0.0,0.0,0.0,0.0,4.9,0,126,-0.1,2017
Team Totals,29.0,5,,1200,.568,.534,25.7,72.4,48.8,51.9,7.2,6.7,11.6,,114.6,121.3,,2017
Stephen Curry,28,5,5,189,.619,.544,7.1,16.2,11.6,36.2,2.8,0.0,14.9,27.9,126,113,24.1,2017
Klay Thompson,26,5,5,183,.561,.550,2.2,11.7,7.1,8.1,0.5,0.4,5.2,17.6,113,119,10.6,2017
Draymond Green,26,5,5,177,.446,.409,6.2,25.5,15.8,17.5,2.2,1.7,16.3,17.3,100,112,9.5,2017
Andre Iguodala,33,5,0,141,.587,.603,3.2,9.7,6.6,15.4,2.0,3.5,12.0,12.3,121,114,8.8,2017
Shaun Livingston,31,5,0,75,.563,.536,2.5,4.3,3.4,12.1,0.6,0.0,3.3,16.8,119,121,4.4,2017
David West,36,5,0,50,.587,.588,3.7,17.2,11.0,7.0,0.0,5.1,10.1,16.5,109,116,3.2,2017
Ian Clark,25,4,0,44,.563,.531,0.0,8.6,4.6,9.8,1.1,0.0,10.6,17.4,105,111,2.8,2017
Zaza Pachulia,32,5,5,66,.526,.538,14.5,7.9,11.1,3.4,1.5,0.0,34.5,14.6,82,118,1.2,2017
Patrick McCaw,21,5,0,34,.431,.318,13.1,18.5,15.8,6.9,1.4,0.0,7.3,17.0,109,117,1.9,2017
JaVale McGee,29,4,0,22,.709,.667,31.8,12.3,22.7,18.5,0.0,8.6,11.4,16.2,154,115,3.4,2017
James Michael McAdoo,24,4,0,11,.667,.667,10.5,8.4,8.5,0.0,4.5,0.0,0.0,10.8,141,105,1.0,2017
Matt Barnes,36,5,0,9,.500,.500,0.0,14.9,6.4,35.3,0.0,0.0,25.0,17.8,90,120,0.3,2017
Team Totals,28.4,5,,1200,.595,.553,27.6,74.3,51.2,68.1,7.6,7.9,11.6,,121.3,114.6,,2017
Klay Thompson,25,7,7,247,.560,.523,1.7,7.8,4.9,8.9,1.5,1.4,10.9,25.2,105,112,11.9,2016
Draymond Green,25,6,6,240,.618,.579,2.4,27.4,14.8,27.4,2.2,2.1,13.0,17.9,124,103,17.2,2016
Harrison Barnes,23,7,7,222,.431,.415,3.3,13.2,8.1,7.9,1.2,1.2,5.0,16.3,92,110,5.9,2016
Andre Iguodala,32,7,2,239,.516,.526,7.6,13.7,10.5,19.5,1.3,1.7,11.4,13.2,117,110,9.9,2016
Shaun Livingston,30,7,0,148,.567,.511,3.8,15.4,9.3,22.4,0.7,1.1,15.0,18.6,112,110,6.7,2016
Leandro Barbosa,33,6,0,79,.746,.732,3.0,5.9,4.5,12.0,2.0,0.9,8.4,20.5,136,111,6.4,2016
Andrew Bogut,31,5,5,60,.471,.471,18.0,11.5,14.5,8.3,1.7,13.9,22.7,16.8,92,98,3.3,2016
Festus Ezeli,26,7,1,61,.322,.300,12.7,11.6,12.4,7.7,0.9,1.3,8.4,17.9,81,109,0.9,2016
Marreese Speights,28,7,0,33,.371,.333,9.5,22.7,15.5,9.1,1.5,5.1,9.6,28.1,83,107,0.9,2016
Ian Clark,24,4,0,19,.813,.813,6.7,11.6,9.3,23.2,0.0,0.0,27.3,26.0,113,111,2.1,2016
Anderson Varejão,33,6,0,41,.344,.000,17.3,6.3,11.2,20.8,1.2,0.0,16.4,13.3,101,119,0.8,2016
James Michael McAdoo,23,3,0,18,1.000,1.000,0.0,27.2,12.6,9.8,0.0,0.0,0.0,4.9,209,116,1.1,2016
Brandon Rush,30,5,0,28,.129,.000,0.0,21.9,10.6,0.0,3.7,2.9,20.5,7.9,23,102,0.2,2016
Team Totals,27.4,7,,1680,.545,.512,24.2,71.6,47.6,63.5,7.1,9.8,13.0,,108.5,109.1,,2016
